DayType,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
AutumnWD,9905,9746,9551,9375,9281,9222,9129,9047,8959,8839,8817,8889,8766,8878,8841,8851,8926,8901,8944,8951,9145,9280,9412,9662,9989,10442,10739,11012,11400,11679,11642,11574,11697,11723,11871,11856,11819,11966,12064,12043,12069,12008,12061,12079,12197,12125,12229,12205,12049,11923,11872,11875,11962,11929,11892,11987,11841,11818,11840,11796,11906,11834,11846,11751,11738,11739,11723,11802,12033,12247,12741,12892,12894,12801,12565,12455,12355,12133,11977,11846,11728,11503,11278,11117,11052,10948,10816,10591,10735,10843,10779,10717,10781,10593,10315,10117
SpringWD,9523,9326,9169,9017,8918,8770,8848,8653,8552,8419,8415,8459,8446,8423,8439,8418,8401,8466,8612,8649,8875,9010,8944,8938,9425,9669,9960,10214,10414,10508,10615,10803,10947,11024,11137,11178,11275,11421,11553,11619,11495,11476,11472,11542,11617,11661,11705,11719,11416,11269,11293,11254,11267,11315,11201,11190,11227,11183,11135,10994,11032,10984,11008,10959,10971,10968,10946,10877,10912,11006,11093,11022,10970,10869,10824,10756,10665,10682,10538,10447,10302,10253,10188,10061,10048,10018,10038,10187,10375,10501,10554,10538,10484,10261,10003,9823
SummerWD,9101,8956,8840,8690,8587,8489,8385,8281,8228,8133,8061,8135,8050,7995,7973,7890,7977,7981,8030,8062,8128,8180,8140,8304,8557,8792,9047,9191,9447,9740,9950,10085,10230,10342,10409,10491,10605,10704,10774,10849,10903,11006,11048,11102,11202,11165,11228,11270,11144,10982,10998,10990,11003,11051,11088,11059,11005,10909,10979,10879,10798,10763,10643,10614,10634,10630,10667,10688,10609,10554,10673,10626,10564,10488,10389,10369,10279,10107,10044,9910,9838,9788,9758,9542,9434,9423,9255,9221,9327,9524,9527,9574,9488,9375,9209,9024
WinterWD,10881,10652,10520,10267,10115,10073,10049,9811,9800,9658,9583,9569,9504,9544,9461,9407,9394,9449,9499,9587,9721,9834,10037,10172,10697,11015,11287,11595,11850,12141,12246,12213,12187,12220,12189,12195,12283,12314,12406,12359,12348,12406,12522,12471,12500,12541,12521,12458,12212,12130,12162,12111,12141,12178,12185,12231,12121,12166,12150,12052,12096,12058,12088,12100,12026,12013,11888,12008,12005,12104,12213,12293,12457,12822,12924,12855,12821,12640,12517,12390,12215,12085,11900,11619,11573,11443,11304,11100,11289,11538,11568,11379,11552,11300,11161,10915
AutumnWE,9433,9194,9010,8926,8822,8683,8536,8454,8326,8245,8243,8177,8078,8038,8025,8026,8034,8008,8011,8109,8141,8170,8121,8191,8308,8391,8411,8504,8506,8494,8615,8735,8797,8701,8884,8972,9172,9211,9368,9393,9426,9576,9579,9705,9719,9853,9876,10006,10077,10018,9952,9873,9836,9678,9612,9529,9452,9395,9377,9411,9428,9338,9384,9392,9493,9518,9669,9875,10200,10409,10556,10673,10672,10777,10735,10635,10720,10582,10550,10449,10382,10244,10166,9978,9819,9703,9560,9448,9547,9647,9599,9538,9622,9505,9328,9151
SpringWE,9247,9138,8895,8793,8685,8603,8383,8231,8211,8202,8099,8077,8021,8048,7953,7959,7902,7819,7830,7772,7844,7876,7762,7781,7798,7942,8006,8099,8154,8324,8526,8669,8912,9001,9184,9311,9465,9614,9824,9799,9887,9962,9881,9877,9905,9984,10073,10073,10044,10023,9901,9820,9751,9659,9573,9481,9492,9378,9247,9206,9307,9271,9153,9227,9287,9237,9291,9230,9337,9232,9270,9382,9346,9341,9282,9261,9259,9131,9096,9096,9021,8976,8929,8877,8809,8912,8923,9185,9227,9362,9244,9264,9119,8961,8855,8800
SummerWE,9046,8831,8774,8564,8511,8455,8260,8283,8213,8206,8122,7970,7958,8031,7848,7860,7832,7831,7747,7738,7798,7794,7810,7909,8034,7990,8014,8022,8185,8243,8419,8397,8623,8742,8939,9153,9105,9326,9416,9496,9551,9628,9703,9794,9762,9876,9925,9843,9924,9897,9921,9803,9820,9780,9629,9660,9522,9427,9280,9318,9375,9184,9264,9231,9290,9237,9320,9345,9379,9339,9487,9415,9400,9332,9375,9321,9263,9243,9277,9164,9155,9109,9067,8997,9276,9295,9208,9079,9098,9094,9029,8917,8889,8698,8491,8375
WinterWE,10139,9933,9830,9549,9496,9442,9345,9251,9098,9082,9020,8980,8900,8837,8726,8750,8734,8590,8649,8628,8578,8678,8643,8616,8801,8777,8908,8870,8882,8957,8980,8865,8976,9156,9295,9357,9412,9582,9605,9682,9767,9955,9946,10145,10119,10197,10233,10426,10463,10496,10373,10402,10231,10086,9956,9942,9864,9605,9685,9670,9681,9559,9518,9511,9492,9512,9452,9423,9541,9745,9838,10066,10422,10852,11062,11200,11301,11109,11136,11089,11047,10858,10764,10712,10535,10414,10388,10330,10306,10469,10511,10573,10658,10582,10337,10126
